report_id,report_text,specialty
1,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
2,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
3,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
4,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
5,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
6,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
7,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
8,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
9,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
10,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
11,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
12,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
13,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
14,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
15,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
16,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
17,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
18,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
19,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
20,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
21,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
22,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
23,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
24,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
25,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
26,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
27,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
28,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
29,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
30,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
31,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
32,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
33,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
34,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
